# Marcador "matMat" <L2CACHE>
# n <L2CACHE> (sem otimização)
0 0.3025
64 0.0366
100 0.0383
128 0.0079
200 0.3867
256 0.4502
512 0.4910
600 0.1316
900 0.1041
1024 0.3612
2000 0.2046
2048 0.3225
3000 0.2344
4000 0.4614
